[0.007, 5e-06, 'ResNet50', '11999', '0.7292876890342328', '0.6302075872446137'],
[0.02, 5e-06, 'ResNet50', '12999', '0.7011582465785364', '0.59662732053382'],
[0.007, 5e-06, 'ResNet50', '1999', '0.5219293164714797', '0.5711764746477843'],
[0.02, 5e-06, 'ResNet50', '11999', '0.6215916525981189', '0.5919888047140655'],
[0.02, 5e-06, 'ResNet50', '10999', '0.7415693392892624', '0.5977691640223352'],
[0.02, 5e-06, 'ResNet50', '9999', '0.7374282709204929', '0.6314099384222954'],
[0.02, 5e-06, 'ResNet50', '4999', '0.4234064429625433', '0.5439858735719946'],
[0.02, 5e-06, 'ResNet50', '3999', '0.4300255326648422', '0.5158423777235812'],
[0.02, 5e-06, 'ResNet50', '2999', '0.33987584776837776', '0.542822869623231'],
[0.02, 5e-06, 'ResNet50', '1999', '0.12271725611582626', '0.3177166801422027'],
[0.009, 5e-06, 'ResNet50', '999', '0.18476548645143315', '0.3775520228462452'],
[0.009, 5e-06, 'ResNet50', '14999', '0.6995677487281188', '0.6387293389262577'],
[0.009, 5e-06, 'ResNet50', '13999', '0.7566843931678923', '0.6063313516544218'],
[0.009, 5e-06, 'ResNet50', '12999', '0.7902251621055483', '0.6658831255481864'],
[0.009, 5e-06, 'ResNet50', '11999', '0.7258366377589833', '0.6254053665361574'],
[0.009, 5e-06, 'ResNet50', '10999', '0.7170373433242379', '0.5915025840051809'],
[0.009, 5e-06, 'ResNet50', '9999', '0.7574167479910991', '0.6094331077061516'],
[0.009, 5e-06, 'ResNet50', '7999', '0.6649427735974144', '0.6553947954460184'],
[0.009, 5e-06, 'ResNet50', '6999', '0.6579363188284375', '0.6006856766526372'],
[0.009, 5e-06, 'ResNet50', '4999', '0.6566979313765998', '0.5962275781618606'],
[0.009, 5e-06, 'ResNet50', '3999', '0.649253253671532', '0.6215284279376203'],
[0.009, 5e-06, 'ResNet50', '2999', '0.45184531540643497', '0.4650936110909538'],
[0.009, 5e-06, 'ResNet50', '1999', '0.3109723271568553', '0.5815536553183271'],
[0.003, 5e-06, 'ResNet50', '999', '0.06798002177446189', '0.16756128670192724'],
[0.003, 5e-06, 'ResNet50', '14999', '0.7089865237560034', '0.5710168284018945'],
[0.003, 5e-06, 'ResNet50', '13999', '0.7211655793746692', '0.5853652019113238'],
[0.003, 5e-06, 'ResNet50', '12999', '0.7284860571505696', '0.6211280543430824'],
[0.003, 5e-06, 'ResNet50', '11999', '0.7211350702160333', '0.6335413506574964'],
[0.003, 5e-06, 'ResNet50', '10999', '0.6424962053841383', '0.5928924837842875'],
[0.003, 5e-06, 'ResNet50', '9999', '0.7120076873274379', '0.5738579616124696'],
[0.003, 5e-06, 'ResNet50', '8999', '0.6729306720575037', '0.6131302489660265'],
[0.003, 5e-06, 'ResNet50', '7999', '0.6097145002856477', '0.5996915137887314'],
[0.003, 5e-06, 'ResNet50', '6999', '0.5984810419694504', '0.5424569811027319'],
[0.003, 5e-06, 'ResNet50', '5999', '0.5381162840986745', '0.492524070011477'],
[0.003, 5e-06, 'ResNet50', '4999', '0.6118400260792248', '0.5466185239321971'],
[0.003, 5e-06, 'ResNet50', '3999', '0.5020883244315695', '0.5680279431468458'],
[0.003, 5e-06, 'ResNet50', '2999', '0.42225196952981714', '0.4728584784845117'],
[0.003, 5e-06, 'ResNet50', '1999', '0.43321614707625933', '0.6096136522078626'],
[0.01, 7e-06, 'ResNet50', '999', '0.015552568284770224', '0.20856143977897842'],
[0.01, 7e-06, 'ResNet50', '14999', '0.7485249385569254', '0.6030946249302203'],
[0.01, 7e-06, 'ResNet50', '13999', '0.7501338349201767', '0.6020603555427463'],
[0.01, 7e-06, 'ResNet50', '12999', '0.6945500036142928', '0.6123682321123839'],
[0.01, 7e-06, 'ResNet50', '11999', '0.7183792575778344', '0.590263050494584'],
[0.01, 7e-06, 'ResNet50', '10999', '0.7262342485163021', '0.5757822418592784'],
[0.01, 7e-06, 'ResNet50', '9999', '0.7817055921559739', '0.6389753094795333'],
[0.01, 7e-06, 'ResNet50', '8999', '0.8267311055147065', '0.6389507457223755'],
[0.01, 7e-06, 'ResNet50', '7999', '0.7678058969428833', '0.6128375210847959'],
[0.01, 7e-06, 'ResNet50', '6999', '0.7341172922260346', '0.5614368169067145'],
[0.01, 7e-06, 'ResNet50', '5999', '0.6757070911299079', '0.6147545706353192'],
[0.01, 7e-06, 'ResNet50', '4999', '0.6853901164581793', '0.6355412659036798'],
[0.01, 7e-06, 'ResNet50', '3999', '0.38922301506490153', '0.5785156235653378'],
[0.01, 7e-06, 'ResNet50', '2999', '0.4962614907773329', '0.6239823863280648'],
[0.01, 7e-06, 'ResNet50', '1999', '0.1175133756694299', '0.37545509972183494'],
[0.001, 7e-06, 'ResNet50', '999', '0.023093827214303267', '0.16505723189370286'],
[0.001, 7e-06, 'ResNet50', '14999', '0.6722326252179439', '0.5746481359764074'],
[0.001, 7e-06, 'ResNet50', '13999', '0.651464417433682', '0.580399686878686'],
[0.001, 7e-06, 'ResNet50', '12999', '0.62285196265275', '0.5443382848226657'],
[0.001, 7e-06, 'ResNet50', '11999', '0.6506400131271373', '0.5610781488309335'],
[0.001, 7e-06, 'ResNet50', '10999', '0.616671676006885', '0.6115279358097866'],
[0.001, 7e-06, 'ResNet50', '3999', '0.4777420228164953', '0.5826547413268897'],
[0.007, 7e-06, 'ResNet50', '999', '0.1413717722231584', '0.525489198656526'],
[0.007, 7e-06, 'ResNet50', '14999', '0.7231057450779749', '0.5858811261727223'],
[0.001, 7e-06, 'ResNet50', '2999', '0.36082076317771605', '0.459389173882588'],
[0.007, 7e-06, 'ResNet50', '13999', '0.7181159262134263', '0.5952243749961259'],
[0.007, 7e-06, 'ResNet50', '12999', '0.7859753441316537', '0.6052402592766428'],
[0.007, 7e-06, 'ResNet50', '11999', '0.7600483397914175', '0.63328301941931'],
[0.007, 7e-06, 'ResNet50', '10999', '0.7189268395481596', '0.5951196439611061'],
[0.001, 7e-06, 'ResNet50', '1999', '0.2354204899041239', '0.44418001234298643'],
[0.007, 7e-06, 'ResNet50', '9999', '0.733403762011249', '0.5973909532372066'],
[0.009, 7e-06, 'ResNet50', '999', '0.048620261502784326', '0.2651730844656808'],
[0.009, 7e-06, 'ResNet50', '14999', '0.7571667959938042', '0.5978861540505098'],
