[0.001, 1e-05, 'ResNet50', '1999', '0.2615116869205706', '0.35199524628979445']
[0.0001, 1e-05, 'ResNet50', '999', '0.010223105589475392', '0.06487417880272475']
[0.0001, 1e-05, 'ResNet50', '14999', '0.4261219302162556', '0.3998787730074954']
[0.0001, 1e-05, 'ResNet50', '13999', '0.3808586188681795', '0.4282284707403153']
[0.0001, 1e-05, 'ResNet50', '12999', '0.3749765436303477', '0.39618922425392655']
[0.0001, 1e-05, 'ResNet50', '11999', '0.25768230368524775', '0.32485878099207743']
[0.0001, 1e-05, 'ResNet50', '10999', '0.3653578363671387', '0.393941870090614']
[0.0001, 1e-05, 'ResNet50', '9999', '0.30427702427549963', '0.3933265482363804']
[0.0001, 1e-05, 'ResNet50', '8999', '0.24123770387382298', '0.363859522012557']
[0.0001, 1e-05, 'ResNet50', '7999', '0.2432529700616608', '0.3075149534370237']
[0.0001, 1e-05, 'ResNet50', '6999', '0.14547827928333112', '0.2475711571381527']
[0.0001, 1e-05, 'ResNet50', '5999', '0.07749229230209051', '0.21592580078328744']
[0.0001, 1e-05, 'ResNet50', '4999', '0.035134614423910984', '0.2079108857444873']
[0.0001, 1e-05, 'ResNet50', '3999', '0.01971557948563295', '0.19192337756469235']
[0.0001, 1e-05, 'ResNet50', '2999', '0.009108907950423968', '0.09299551799523671']
[0.0001, 1e-05, 'ResNet50', '1999', '0.013374327402710348', '0.09545420387630596']
[1e-05, 1e-05, 'ResNet50', '999', '0.0032041306767394695', '0.009292225403677194']
[1e-05, 1e-05, 'ResNet50', '14999', '0.004010217337012727', '0.08692758025227645']
[1e-05, 1e-05, 'ResNet50', '13999', '0.003751980891194191', '0.07562258946898329']
[1e-05, 1e-05, 'ResNet50', '12999', '0.0034045524420518005', '0.09387579500683788']
[1e-05, 1e-05, 'ResNet50', '11999', '0.0032255291623840636', '0.05869025077421347']
[1e-05, 1e-05, 'ResNet50', '10999', '0.0028868739760302704', '0.039195733579430125']
[1e-05, 1e-05, 'ResNet50', '9999', '0.003283862518287061', '0.040795248961564175']
[1e-05, 1e-05, 'ResNet50', '8999', '0.0032650634145363045', '0.03219804139508016']
[1e-05, 1e-05, 'ResNet50', '7999', '0.003287849274125009', '0.0264201863993564']
[1e-05, 1e-05, 'ResNet50', '6999', '0.002928673331614393', '0.022017893999946237']
[1e-05, 1e-05, 'ResNet50', '5999', '0.002612132484757906', '0.016247651632861577']
[1e-05, 1e-05, 'ResNet50', '4999', '0.0018680858914474564', '0.010281161738886286']
[1e-05, 1e-05, 'ResNet50', '3999', '0.0008612484231570735', '0.003319189796205628']
[1e-05, 1e-05, 'ResNet50', '2999', '0.0003862505765271324', '0.000763318662410389']
[1e-05, 1e-05, 'ResNet50', '1999', '0.00026371752690899604', '0.0003646331488434605']
[0.01, 1e-06, 'ResNet50', '999', '0.1682311620841617', '0.4511672612597105']
[0.01, 1e-06, 'ResNet50', '14999', '0.7329895787311143', '0.6245936060538557']
[0.01, 1e-06, 'ResNet50', '13999', '0.7006761938637011', '0.609836925204134']
[0.01, 1e-06, 'ResNet50', '12999', '0.7392036439975704', '0.6515082334522885']
[0.01, 1e-06, 'ResNet50', '11999', '0.6453672181647597', '0.6320063200778032']
[0.01, 1e-06, 'ResNet50', '10999', '0.649593939175081', '0.6165453428596518']
[0.01, 1e-06, 'ResNet50', '9999', '0.6648327434706047', '0.5865886538381831']
[0.01, 1e-06, 'ResNet50', '8999', '0.7304257100379881', '0.6474195502683506']
[0.01, 1e-06, 'ResNet50', '7999', '0.7341722883465328', '0.6163644376671299']
[0.01, 1e-06, 'ResNet50', '6999', '0.6738370297917051', '0.6081666692466781']
[0.01, 1e-06, 'ResNet50', '5999', '0.6771632758852851', '0.5685553249631555']
[0.001, 1e-06, 'ResNet50', '999', '0.008876360128100735', '0.056699746838476964']
[0.01, 1e-06, 'ResNet50', '4999', '0.6273431963743722', '0.5639249983377577']
[0.01, 1e-06, 'ResNet50', '3999', '0.5850373673679002', '0.617325766641363']
[0.001, 1e-06, 'ResNet50', '14999', '0.596462707319225', '0.5303870612913101']
[0.001, 1e-06, 'ResNet50', '13999', '0.580628757815036', '0.5727677862002546']
[0.01, 1e-06, 'ResNet50', '2999', '0.38866312147480675', '0.5403657743200273']
[0.001, 1e-06, 'ResNet50', '12999', '0.6208841925813438', '0.5497411837161919']
[0.01, 1e-06, 'ResNet50', '1999', '0.2615340972326027', '0.32360350440499025']
[0.001, 1e-06, 'ResNet50', '11999', '0.6014820828557793', '0.5620185186343323']
[0.001, 1e-06, 'ResNet50', '10999', '0.6312147831677409', '0.590844662782762']
[0.001, 1e-06, 'ResNet50', '9999', '0.5896018545278212', '0.5772248945812627']
[0.001, 1e-06, 'ResNet50', '8999', '0.6178758385063771', '0.5322596690111435']
[0.001, 1e-06, 'ResNet50', '7999', '0.5717687817231175', '0.5606796281594678']
[0.001, 1e-06, 'ResNet50', '6999', '0.5736778022574184', '0.5778502467979829']
[0.001, 1e-06, 'ResNet50', '5999', '0.548945153977989', '0.5719542739233442']
[0.001, 1e-06, 'ResNet50', '4999', '0.5814666938134583', '0.5102487657740379']
[0.001, 1e-06, 'ResNet50', '3999', '0.4230787775513189', '0.4289855011058277']
[0.001, 1e-06, 'ResNet50', '2999', '0.36732283936917526', '0.4327828944017315']
[0.001, 1e-06, 'ResNet50', '1999', '0.2893115095519695', '0.3659559795549144']
[0.0001, 1e-06, 'ResNet50', '999', '0.0013124536817695823', '0.005961287336195489']
[0.0001, 1e-06, 'ResNet50', '14999', '0.4259044632248411', '0.4040407345980964']
[0.0001, 1e-06, 'ResNet50', '13999', '0.3369135515891619', '0.38675208964486746']
[0.0001, 1e-06, 'ResNet50', '12999', '0.27015401620552437', '0.32343559107637726']
[0.0001, 1e-06, 'ResNet50', '11999', '0.28267224617965253', '0.36360213560505866']
[0.0001, 1e-06, 'ResNet50', '10999', '0.20408693238634434', '0.31360053402200994']
[0.0001, 1e-06, 'ResNet50', '9999', '0.20179827507593542', '0.29798300088240165']
[0.0001, 1e-06, 'ResNet50', '8999', '0.17401689354768168', '0.2676644170182463']
[0.0001, 1e-06, 'ResNet50', '7999', '0.15805076312656707', '0.27976831660250234']
[0.0001, 1e-06, 'ResNet50', '6999', '0.12713307748760577', '0.26146258365626346']
[0.0001, 1e-06, 'ResNet50', '5999', '0.08106467937085138', '0.22122466840908586']
[0.0001, 1e-06, 'ResNet50', '4999', '0.04103155105097123', '0.16474428882505693']
[0.0001, 1e-06, 'ResNet50', '3999', '0.022171163259521075', '0.1585789248766854']
[0.0001, 1e-06, 'ResNet50', '2999', '0.0021520181667822177', '0.1762308504267714']
[0.0001, 1e-06, 'ResNet50', '1999', '0.0015009747513520613', '0.004867154321149106']
[1e-05, 1e-06, 'ResNet50', '999', '0.003521892265852701', '0.009553160350473034']
[1e-05, 1e-06, 'ResNet50', '14999', '0.03722335234371708', '0.13391549135392317']
[1e-05, 1e-06, 'ResNet50', '13999', '0.03700286675811802', '0.11601259671243196']
[1e-05, 1e-06, 'ResNet50', '12999', '0.037011225194823555', '0.11531512568703635']
[1e-05, 1e-06, 'ResNet50', '11999', '0.03133011021718209', '0.08579372709573715']
[1e-05, 1e-06, 'ResNet50', '10999', '0.030410605952523616', '0.09241906614900958']
[1e-05, 1e-06, 'ResNet50', '9999', '0.02884830009856254', '0.09081437250797243']
[1e-05, 1e-06, 'ResNet50', '8999', '0.03014129362694672', '0.08310697644816974']
[1e-05, 1e-06, 'ResNet50', '7999', '0.02747523855427434', '0.08533497541673438']
[1e-05, 1e-06, 'ResNet50', '6999', '0.023155387087031465', '0.07075334993185656']
[1e-05, 1e-06, 'ResNet50', '5999', '0.021877731969013776', '0.09619055284687758']
[1e-05, 1e-06, 'ResNet50', '4999', '0.015037047250050135', '0.030454773447745425']
[1e-05, 1e-06, 'ResNet50', '3999', '0.0017083090587600893', '0.0026956206382212035']
[1e-05, 1e-06, 'ResNet50', '2999', '0.000540692343095134', '0.0009757513290366375']
[1e-05, 1e-06, 'ResNet50', '1999', '0.00043795155267644043', '0.0007858000147981509']
