[0.0001, 0.0001, 'ResNet50', '3999', '0.045854081816066136', '0.1241153776776847'],
[0.0001, 0.0001, 'ResNet50', '2999', '0.005998939802954583', '0.14894243577348648'],
[0.0001, 0.0001, 'ResNet50', '1999', '0.004966007718537159', '0.02615604635786963'],
[1e-05, 0.0001, 'ResNet50', '999', '0.0008336684929179571', '0.0017451609983254158'],
[1e-05, 0.0001, 'ResNet50', '14999', '0.002486497457766789', '0.09777677799311771'],
[1e-05, 0.0001, 'ResNet50', '13999', '0.0022853358332184577', '0.034872058628454154'],
[1e-05, 0.0001, 'ResNet50', '12999', '0.002192717878899349', '0.02271283811536602'],
[1e-05, 0.0001, 'ResNet50', '11999', '0.0019941255600413204', '0.01346278006405675'],
[1e-05, 0.0001, 'ResNet50', '10999', '0.001898122130669503', '0.007249611888506579'],
[1e-05, 0.0001, 'ResNet50', '9999', '0.0019448538485410988', '0.007218477095147601'],
[1e-05, 0.0001, 'ResNet50', '8999', '0.002057303291559759', '0.008532334121504597'],
[1e-05, 0.0001, 'ResNet50', '7999', '0.002367525257652535', '0.01027657297672425'],
[1e-05, 0.0001, 'ResNet50', '6999', '0.002634724844051038', '0.011374843539958584'],
[1e-05, 0.0001, 'ResNet50', '5999', '0.002481854629242518', '0.01041682114234158'],
[1e-05, 0.0001, 'ResNet50', '4999', '0.0018604959832760233', '0.00875847464095743'],
[1e-05, 0.0001, 'ResNet50', '3999', '0.0007184530459840201', '0.003581547271770033'],
[1e-05, 0.0001, 'ResNet50', '2999', '0.0005909780001286708', '0.0020451167718200285'],
[1e-05, 0.0001, 'ResNet50', '1999', '0.0006742462446272456', '0.0012187774512505188'],
[0.001, 1e-05, 'ResNet50', '999', '0.013891629082698967', '0.15535077659831453'],
[0.001, 1e-05, 'ResNet50', '14999', '0.599449933906846', '0.5453183251994899'],
[0.001, 1e-05, 'ResNet50', '13999', '0.6768065349203006', '0.5816975361881921'],
[0.001, 1e-05, 'ResNet50', '12999', '0.6504707558944796', '0.5687201473787098'],
[0.001, 1e-05, 'ResNet50', '11999', '0.6706171385419625', '0.5579773832231789'],
[0.001, 1e-05, 'ResNet50', '10999', '0.6824256103617508', '0.6214673146819181'],
[0.001, 1e-05, 'ResNet50', '9999', '0.6082351640197649', '0.5848514696724249'],
[0.001, 1e-05, 'ResNet50', '8999', '0.592654358592497', '0.5726677029814826'],
[0.001, 1e-05, 'ResNet50', '7999', '0.6158008755592878', '0.5669647132380987'],
[0.001, 1e-05, 'ResNet50', '6999', '0.6910238147459458', '0.5882612748066555'],
[0.001, 1e-05, 'ResNet50', '5999', '0.554878006509578', '0.6024268718711232'],
[0.001, 1e-05, 'ResNet50', '4999', '0.49214511190242344', '0.5866146983921193'],
[0.001, 1e-05, 'ResNet50', '3999', '0.48786650097204187', '0.5740328249576904'],
[0.001, 1e-05, 'ResNet50', '2999', '0.3976064787343385', '0.38831743151043846'],
[0.01, 1e-05, 'ResNet50', '999', '0.16105053607007974', '0.31507656631840825'],
[0.001, 1e-05, 'ResNet50', '1999', '0.326105141984155', '0.3923699631641274'],
[0.01, 1e-05, 'ResNet50', '14999', '0.7153786956601113', '0.5987858013560944'],
[0.01, 1e-05, 'ResNet50', '13999', '0.7378886026180245', '0.6090425374029926'],
[0.01, 1e-05, 'ResNet50', '12999', '0.7363813107362952', '0.6092281546719961'],
[0.01, 1e-05, 'ResNet50', '11999', '0.6933661831112827', '0.6434772670668181'],
[0.01, 1e-05, 'ResNet50', '10999', '0.70492500121037', '0.5850452212764502'],
[0.01, 1e-05, 'ResNet50', '9999', '0.7377514860780218', '0.6268517982211319'],
[0.01, 1e-05, 'ResNet50', '8999', '0.7369428238768562', '0.6435906873705035'],
[0.01, 1e-05, 'ResNet50', '7999', '0.7697653071177515', '0.6352446469565227'],
[0.01, 1e-05, 'ResNet50', '6999', '0.7015076389567831', '0.6116276748860088'],
[0.01, 1e-05, 'ResNet50', '5999', '0.5802822726275046', '0.6249468078059388'],
[0.01, 1e-05, 'ResNet50', '4999', '0.6486088426900076', '0.584169950262754'],
[0.01, 1e-05, 'ResNet50', '3999', '0.7392644653511986', '0.5889297680394144'],
[0.01, 1e-05, 'ResNet50', '2999', '0.4942353753396377', '0.49821204129096114'],
[0.01, 1e-05, 'ResNet50', '1999', '0.18542663247346197', '0.36021269555183816'],
[0.0001, 1e-05, 'ResNet50', '999', '0.0009299862902384115', '0.0033067610816451347'],
[0.0001, 1e-05, 'ResNet50', '14999', '0.42255986505965043', '0.4302606782642521'],
[0.0001, 1e-05, 'ResNet50', '13999', '0.3650422160997098', '0.43251510567857376'],
[0.0001, 1e-05, 'ResNet50', '12999', '0.3347074723576643', '0.4225537851818089'],
[0.0001, 1e-05, 'ResNet50', '11999', '0.31483410572449066', '0.4058910501220064'],
[0.0001, 1e-05, 'ResNet50', '10999', '0.27636153774493943', '0.3447743773593293'],
[0.0001, 1e-05, 'ResNet50', '9999', '0.2502359727810053', '0.35074688439069945'],
[0.0001, 1e-05, 'ResNet50', '8999', '0.25267519381466974', '0.3607828238484054'],
[0.0001, 1e-05, 'ResNet50', '7999', '0.14935387428132885', '0.25449509594482045'],
[0.0001, 1e-05, 'ResNet50', '6999', '0.13513264465233338', '0.23908375491728467'],
[0.0001, 1e-05, 'ResNet50', '5999', '0.09335309845445361', '0.18762427228960762'],
[0.0001, 1e-05, 'ResNet50', '4999', '0.049144863029340444', '0.1816160021145407'],
[0.0001, 1e-05, 'ResNet50', '3999', '0.017688458953555326', '0.11014430682363101'],
[0.0001, 1e-05, 'ResNet50', '2999', '0.004700607069842678', '0.11227590652273926'],
[0.0001, 1e-05, 'ResNet50', '1999', '0.0017549939773204633', '0.0090300816622795'],
[1e-05, 1e-05, 'ResNet50', '999', '3.3062322477870785e-05', '3.918258013728151e-05'],
[1e-05, 1e-05, 'ResNet50', '14999', '0.0026870700998400136', '0.008504091660246573'],
[1e-05, 1e-05, 'ResNet50', '13999', '0.0027976631100929605', '0.008272758482654066'],
[1e-05, 1e-05, 'ResNet50', '12999', '0.00277142523795333', '0.00842949876418601'],
[1e-05, 1e-05, 'ResNet50', '11999', '0.0029898428704357625', '0.00940901711247331'],
[1e-05, 1e-05, 'ResNet50', '10999', '0.003300555104031551', '0.009994089939480658'],
[1e-05, 1e-05, 'ResNet50', '9999', '0.0037711916601029113', '0.011950533594987576'],
[1e-05, 1e-05, 'ResNet50', '8999', '0.004378235917013166', '0.013703601564331045'],
[1e-05, 1e-05, 'ResNet50', '7999', '0.005406299890032637', '0.018191020522148077'],
[1e-05, 1e-05, 'ResNet50', '6999', '0.004861856347070811', '0.01530438851756519'],
[1e-05, 1e-05, 'ResNet50', '5999', '0.0042246501060243715', '0.01277363441942908'],
[1e-05, 1e-05, 'ResNet50', '4999', '0.001292498508895992', '0.003978531700117446'],
[1e-05, 1e-05, 'ResNet50', '3999', '0.0006720058608304628', '0.0018546657500889726'],
[1e-05, 1e-05, 'ResNet50', '2999', '0.0006690157679470033', '0.0011562689311221462'],
[1e-05, 1e-05, 'ResNet50', '1999', '0.0004675122557461493', '0.0006174575827024698'],
