[[1e-05, 0.01, 'ResNet50', '999', '0.0', '0.0'],
[1e-05, 0.0001, 'ResNet50', '10999', '0.007380834627722738', '0.044319654696341707'],
[1e-05, 0.0001, 'ResNet50', '9999', '0.006960044436905707', '0.03845158159857493'],
[1e-05, 0.0001, 'ResNet50', '8999', '0.008855073115807487', '0.051084854691930345'],
[1e-05, 0.0001, 'ResNet50', '7999', '0.009117312423962812', '0.05236869148189133'],
[1e-05, 0.0001, 'ResNet50', '6999', '0.010148436614306368', '0.04971557236239036'],
[1e-05, 0.0001, 'ResNet50', '5999', '0.006817803155967901', '0.034574745974950014'],
[1e-05, 0.0001, 'ResNet50', '4999', '0.004091375671041269', '0.012560941045472401'],
[1e-05, 0.0001, 'ResNet50', '3999', '0.0009457457886597323', '0.002508716649159391'],
[1e-05, 0.0001, 'ResNet50', '2999', '0.0004875807744930354', '0.0010052563641825454'],
[1e-05, 0.0001, 'ResNet50', '1999', '0.00010508905709419838', '0.00011045011868769921'],
[0.001, 1e-05, 'ResNet50', '999', '0.1166743361799613', '0.2683253746856372'],
[0.001, 1e-05, 'ResNet50', '14999', '0.631771146540592', '0.5510958794045726'],
[0.001, 1e-05, 'ResNet50', '13999', '0.6228454907744678', '0.5745262382361775'],
[0.001, 1e-05, 'ResNet50', '12999', '0.6501393211055699', '0.5804260241040906'],
[0.001, 1e-05, 'ResNet50', '11999', '0.6366082075078799', '0.5815010101490629'],
[0.001, 1e-05, 'ResNet50', '10999', '0.6637515980441708', '0.570590577711031'],
[0.001, 1e-05, 'ResNet50', '9999', '0.7079298852416009', '0.6033878999706672'],
[0.001, 1e-05, 'ResNet50', '8999', '0.6307744986517223', '0.5719055201548144'],
[0.01, 1e-05, 'ResNet50', '999', '0.13874414258687656', '0.33933202100072635'],
[0.001, 1e-05, 'ResNet50', '7999', '0.5766921424879402', '0.6559882598482881'],
[0.001, 1e-05, 'ResNet50', '6999', '0.5508542609162456', '0.5402427209340843'],
[0.01, 1e-05, 'ResNet50', '14999', '0.7420256396237956', '0.6173303929117615'],
[0.001, 1e-05, 'ResNet50', '5999', '0.492065047611811', '0.570215226910881'],
[0.01, 1e-05, 'ResNet50', '13999', '0.7251344175470609', '0.5972923394935178'],
[0.001, 1e-05, 'ResNet50', '4999', '0.4690692463619097', '0.5223648244341698'],
[0.01, 1e-05, 'ResNet50', '12999', '0.7507452876417704', '0.6224762949787659'],
[0.01, 1e-05, 'ResNet50', '11999', '0.7453388559515266', '0.6326743769312992'],
[0.001, 1e-05, 'ResNet50', '3999', '0.3984702353386612', '0.505724831597467'],
[0.01, 1e-05, 'ResNet50', '10999', '0.7525739962588758', '0.6240892733517263'],
[0.001, 1e-05, 'ResNet50', '2999', '0.35169974755706235', '0.42529468305405943'],
[0.01, 1e-05, 'ResNet50', '9999', '0.7118982551903489', '0.5983842153917917'],
[0.001, 1e-05, 'ResNet50', '1999', '0.26681506646760667', '0.37729789242357137'],
[0.01, 1e-05, 'ResNet50', '8999', '0.7029654970886199', '0.6349664539742497'],
[0.01, 1e-05, 'ResNet50', '7999', '0.7474628364530437', '0.6084000121595932'],
[0.01, 1e-05, 'ResNet50', '6999', '0.7806540692602544', '0.598553078761986'],
[0.01, 1e-05, 'ResNet50', '5999', '0.6038644212873449', '0.5505401275509871'],
[0.01, 1e-05, 'ResNet50', '4999', '0.7506608491514326', '0.6618236990407054'],
[0.01, 1e-05, 'ResNet50', '3999', '0.7027466138292912', '0.6495783996848974'],
[0.01, 1e-05, 'ResNet50', '2999', '0.5576853779680803', '0.5448657611175984'],
[0.01, 1e-05, 'ResNet50', '1999', '0.23996291378015638', '0.4606774558207117'],
[0.0001, 1e-05, 'ResNet50', '999', '0.0034553372028854673', '0.02310041677560857'],
[0.0001, 1e-05, 'ResNet50', '14999', '0.38190897646293537', '0.4345776478999455'],
[0.0001, 1e-05, 'ResNet50', '13999', '0.34449188930010005', '0.4406071595699679'],
[0.0001, 1e-05, 'ResNet50', '12999', '0.31759651138507417', '0.37448794629214893'],
[0.0001, 1e-05, 'ResNet50', '11999', '0.3550683813856389', '0.39545847846867893'],
[0.0001, 1e-05, 'ResNet50', '10999', '0.35136233836685227', '0.39360770309001725'],
[0.0001, 1e-05, 'ResNet50', '9999', '0.2579251487983405', '0.38625215397720847'],
[0.0001, 1e-05, 'ResNet50', '8999', '0.23491232559590697', '0.36041036145628585'],
[0.0001, 1e-05, 'ResNet50', '7999', '0.21447646882963003', '0.3214697723156294'],
[0.0001, 1e-05, 'ResNet50', '6999', '0.2151061147915178', '0.30544469579316746'],
[0.0001, 1e-05, 'ResNet50', '5999', '0.11805303668609538', '0.22804279550499143'],
[0.0001, 1e-05, 'ResNet50', '4999', '0.08920558516858887', '0.20442732958382823'],
[0.0001, 1e-05, 'ResNet50', '3999', '0.057518251530022615', '0.20024196152072685'],
[0.0001, 1e-05, 'ResNet50', '2999', '0.03323063798224646', '0.1572287468920436'],
[0.0001, 1e-05, 'ResNet50', '1999', '0.015805371162426102', '0.137540590155869'],
[1e-05, 1e-05, 'ResNet50', '999', '0.0009873107669585736', '0.002305345907569748'],
[1e-05, 1e-05, 'ResNet50', '14999', '0.002677294462861218', '0.011964552603936534'],
[1e-05, 1e-05, 'ResNet50', '13999', '0.002927161634175788', '0.013652920019925302'],
[1e-05, 1e-05, 'ResNet50', '12999', '0.0032497637592317254', '0.016055806394123035'],
[1e-05, 1e-05, 'ResNet50', '11999', '0.0032092730223949968', '0.018171283828587577'],
[1e-05, 1e-05, 'ResNet50', '10999', '0.0032880025833774452', '0.018157368785456103'],
