[0.005, 3e-06, 'ResNet50', '12999', '0.7211340233047208', '0.6177323508492003'],
[0.003, 3e-06, 'ResNet50', '10999', '0.6823210239592918', '0.5927806046391604'],
[0.007, 3e-06, 'ResNet50', '8999', '0.7458295443607763', '0.6590153023627364'],
[0.005, 3e-06, 'ResNet50', '11999', '0.618036268684582', '0.5880755330455435'],
[0.003, 3e-06, 'ResNet50', '9999', '0.6638940641903257', '0.6024874419525597'],
[0.005, 3e-06, 'ResNet50', '10999', '0.6717838137635866', '0.6157831050549631'],
[0.007, 3e-06, 'ResNet50', '7999', '0.7401276423590464', '0.6468233093476996'],
[0.003, 3e-06, 'ResNet50', '8999', '0.6551775331516957', '0.6257577931932488'],
[0.005, 3e-06, 'ResNet50', '9999', '0.5860149947969326', '0.5757492424866876'],
[0.003, 3e-06, 'ResNet50', '7999', '0.7344860664993907', '0.5899034862881273'],
[0.007, 3e-06, 'ResNet50', '6999', '0.7024458688378181', '0.630269372285089'],
[0.005, 3e-06, 'ResNet50', '8999', '0.6335239581390396', '0.6279139081843548'],
[0.003, 3e-06, 'ResNet50', '6999', '0.6577314960175963', '0.6016143956635714'],
[0.005, 3e-06, 'ResNet50', '7999', '0.7168370934179328', '0.560106947264095'],
[0.007, 3e-06, 'ResNet50', '5999', '0.7499423585964521', '0.6494907110338566'],
[0.003, 3e-06, 'ResNet50', '5999', '0.6397510819414205', '0.6098005384178637'],
[0.005, 3e-06, 'ResNet50', '6999', '0.7844678521452051', '0.5959175801946965'],
[0.003, 3e-06, 'ResNet50', '4999', '0.6528020226012095', '0.6130526958492651'],
[0.007, 3e-06, 'ResNet50', '4999', '0.7064607983351909', '0.627149701541925'],
[0.005, 3e-06, 'ResNet50', '5999', '0.5231959552168937', '0.6011648764357241'],
[0.003, 3e-06, 'ResNet50', '3999', '0.5266568459519241', '0.5500983459312792'],
[0.007, 3e-06, 'ResNet50', '3999', '0.7001201539895655', '0.5996910436204862'],
[0.005, 3e-06, 'ResNet50', '4999', '0.5605245417639692', '0.6447876562089279'],
[0.003, 3e-06, 'ResNet50', '2999', '0.4601085034730838', '0.5078320573307671'],
[0.005, 3e-06, 'ResNet50', '3999', '0.6363421202437375', '0.6322595293352026'],
[0.007, 3e-06, 'ResNet50', '2999', '0.5652859084094445', '0.6263610971443201'],
[0.003, 3e-06, 'ResNet50', '1999', '0.362458656732443', '0.44673513100639733'],
[0.005, 3e-06, 'ResNet50', '2999', '0.4439682446562815', '0.578305513234873'],
[0.007, 3e-06, 'ResNet50', '1999', '0.3773379394608143', '0.48291115841002397'],
[0.005, 3e-06, 'ResNet50', '1999', '0.275410785004656', '0.4229640426723309'],
[0.009, 3e-06, 'ResNet50', '999', '0.13223877557855884', '0.42912289687730365'],
[0.009, 3e-06, 'ResNet50', '14999', '0.711152833734664', '0.622991411994559'],
[0.009, 3e-06, 'ResNet50', '13999', '0.7209963663612953', '0.6374113799224246'],
[0.009, 3e-06, 'ResNet50', '12999', '0.721601443504156', '0.6055807719846877'],
[0.009, 3e-06, 'ResNet50', '11999', '0.649010229276481', '0.6032541627964254'],
[0.009, 3e-06, 'ResNet50', '10999', '0.7016411122268347', '0.6140965293355726'],
[0.009, 3e-06, 'ResNet50', '9999', '0.6061039197695542', '0.5788458411122072'],
[0.009, 3e-06, 'ResNet50', '8999', '0.6942109575607263', '0.6250465165111192'],
[0.009, 3e-06, 'ResNet50', '7999', '0.7266166415740334', '0.6111280079971184'],
[0.009, 3e-06, 'ResNet50', '6999', '0.6358896113344508', '0.602982777587447'],
[0.009, 3e-06, 'ResNet50', '5999', '0.6783355326500524', '0.5933918186812462'],
[0.009, 3e-06, 'ResNet50', '4999', '0.7060387890976209', '0.5881143010408802'],
[0.009, 3e-06, 'ResNet50', '3999', '0.6059817319236238', '0.5663229320742581'],
[0.009, 3e-06, 'ResNet50', '2999', '0.7261826409694272', '0.6301084394899121'],
[0.009, 3e-06, 'ResNet50', '1999', '0.28422535391257336', '0.5137868344255592'],
[0.01, 5e-06, 'ResNet50', '999', '0.13490381050826752', '0.3177349925739671'],
[0.01, 5e-06, 'ResNet50', '14999', '0.813810959254095', '0.6458100622138991'],
[0.01, 5e-06, 'ResNet50', '13999', '0.7462860852881563', '0.6521001524564731'],
[0.01, 5e-06, 'ResNet50', '12999', '0.7597888359321004', '0.6237185654640902'],
[0.01, 5e-06, 'ResNet50', '11999', '0.7595063976133886', '0.6066258922847811'],
[0.01, 5e-06, 'ResNet50', '10999', '0.7148847640273047', '0.6425317572247875'],
[0.01, 5e-06, 'ResNet50', '9999', '0.7190866131102617', '0.6339875400334734'],
[0.01, 5e-06, 'ResNet50', '8999', '0.8486462317312855', '0.6623277743856826'],
[0.01, 5e-06, 'ResNet50', '7999', '0.7660900992477743', '0.6264088347514104'],
[0.01, 5e-06, 'ResNet50', '6999', '0.6978175087418919', '0.5889520269152457'],
[0.01, 5e-06, 'ResNet50', '5999', '0.7200950731647489', '0.6469598026675105'],
[0.01, 5e-06, 'ResNet50', '4999', '0.7039644117049596', '0.6210707293799285'],
[0.01, 5e-06, 'ResNet50', '3999', '0.614143131774469', '0.6154807115387222'],
[0.01, 5e-06, 'ResNet50', '2999', '0.4995226560399004', '0.5962397824731858'],
[0.01, 5e-06, 'ResNet50', '1999', '0.21803583103329643', '0.3974032424985384'],
[0.001, 5e-06, 'ResNet50', '999', '0.06666533109252923', '0.16388383406256987'],
[0.001, 5e-06, 'ResNet50', '14999', '0.5986693198101708', '0.5574708079705027'],
[0.001, 5e-06, 'ResNet50', '13999', '0.5825394383078851', '0.5354693451671217'],
[0.001, 5e-06, 'ResNet50', '12999', '0.5457320523393043', '0.5214759938346517'],
[0.001, 5e-06, 'ResNet50', '11999', '0.5679633730372153', '0.514304268138938'],
[0.001, 5e-06, 'ResNet50', '10999', '0.5966355818581462', '0.4964754682575478'],
[0.001, 5e-06, 'ResNet50', '9999', '0.5563274584095097', '0.508085865708485'],
[0.001, 5e-06, 'ResNet50', '8999', '0.5417747281978658', '0.5317605612298896'],
[0.001, 5e-06, 'ResNet50', '7999', '0.5739137178220661', '0.5535677147002215'],
[0.001, 5e-06, 'ResNet50', '6999', '0.5508136546105342', '0.5439329151145846'],
[0.001, 5e-06, 'ResNet50', '5999', '0.5878784810652918', '0.537030136935235'],
[0.001, 5e-06, 'ResNet50', '4999', '0.42965228402959826', '0.4699364999091117'],
[0.001, 5e-06, 'ResNet50', '3999', '0.45689020666254565', '0.46683817188518895'],
[0.001, 5e-06, 'ResNet50', '2999', '0.39405397004138487', '0.46831449234645445'],
[0.001, 5e-06, 'ResNet50', '1999', '0.31435022856775785', '0.41323123198194633'],
[0.02, 5e-06, 'ResNet50', '999', '0.05446768666043491', '0.38844156611558456'],
[0.007, 5e-06, 'ResNet50', '999', '0.050137904173298276', '0.07600303979436976'],
[0.02, 5e-06, 'ResNet50', '14999', '0.7149481088616241', '0.6432318007116199'],
