[0.009, 3e-06, 'ResNet50', '13999', '0.7131722227438129', '0.5876778285381061'],
[0.009, 3e-06, 'ResNet50', '12999', '0.7015204027687792', '0.5948558342129453'],
[0.009, 3e-06, 'ResNet50', '11999', '0.7085749624124756', '0.618058813215445'],
[0.009, 3e-06, 'ResNet50', '10999', '0.7055814598710984', '0.5890174383158864'],
[0.009, 3e-06, 'ResNet50', '9999', '0.6825693017206441', '0.5981349486253381'],
[0.009, 3e-06, 'ResNet50', '8999', '0.7803349425649514', '0.6200637658285955'],
[0.009, 3e-06, 'ResNet50', '7999', '0.7357061081503709', '0.6065756744884909'],
[0.009, 3e-06, 'ResNet50', '6999', '0.6127407661850226', '0.6428457692903462'],
[0.009, 3e-06, 'ResNet50', '5999', '0.7697213167874384', '0.6029974405943948'],
[0.009, 3e-06, 'ResNet50', '4999', '0.5718604821576908', '0.6199041389645961'],
[0.009, 3e-06, 'ResNet50', '3999', '0.7301655857361723', '0.603278004240887'],
[0.009, 3e-06, 'ResNet50', '2999', '0.5285006816410365', '0.6115403391961699'],
[0.009, 3e-06, 'ResNet50', '1999', '0.30530298655870364', '0.41462969242100084'],
[0.001, 5e-06, 'ResNet50', '999', '0.05155373366896434', '0.17107068818612406'],
[0.001, 5e-06, 'ResNet50', '14999', '0.6093055992333516', '0.5742638566444794'],
[0.001, 5e-06, 'ResNet50', '13999', '0.612630649959369', '0.5447909677686252'],
[0.001, 5e-06, 'ResNet50', '12999', '0.6181479260026517', '0.5906447553503993'],
[0.001, 5e-06, 'ResNet50', '11999', '0.6157234630127033', '0.5815562451845391'],
[0.001, 5e-06, 'ResNet50', '10999', '0.6559376569285987', '0.5734483379035046'],
[0.001, 5e-06, 'ResNet50', '9999', '0.54473653817543', '0.5495829474965879'],
[0.001, 5e-06, 'ResNet50', '8999', '0.5091378779247514', '0.530111901802867'],
[0.01, 5e-06, 'ResNet50', '999', '0.040397821602349546', '0.08851056586135816'],
[0.001, 5e-06, 'ResNet50', '7999', '0.4870341742683381', '0.5088650650019801'],
[0.01, 5e-06, 'ResNet50', '14999', '0.7558843243648803', '0.6118412038257257'],
[0.001, 5e-06, 'ResNet50', '6999', '0.45226239914471034', '0.48943631974197943'],
[0.01, 5e-06, 'ResNet50', '13999', '0.6919815076472919', '0.6126116261779408'],
[0.001, 5e-06, 'ResNet50', '5999', '0.4322234954458417', '0.46627011051505407'],
[0.01, 5e-06, 'ResNet50', '12999', '0.7495435499179768', '0.5981993816199621'],
[0.01, 5e-06, 'ResNet50', '11999', '0.7571872422580546', '0.6094738788251479'],
[0.001, 5e-06, 'ResNet50', '4999', '0.42544781187517716', '0.4866161256216315'],
[0.01, 5e-06, 'ResNet50', '10999', '0.7858164261919399', '0.6664153055041717'],
[0.001, 5e-06, 'ResNet50', '3999', '0.428165097936233', '0.5007658144719628'],
[0.01, 5e-06, 'ResNet50', '3999', '0.5904930810225291', '0.6220257716166272'],
[0.001, 5e-06, 'ResNet50', '2999', '0.3755849234104235', '0.41248597235413287'],
[0.01, 5e-06, 'ResNet50', '2999', '0.5113924647030916', '0.5411630579571801'],
[0.01, 5e-06, 'ResNet50', '1999', '0.4158411632740613', '0.6031262287232257'],
[0.001, 5e-06, 'ResNet50', '1999', '0.2067230937355637', '0.35826860390992776'],
[0.02, 3e-06, 'ResNet50', '999', '0.27047579896514157', '0.43505852334742895'],
[0.02, 3e-06, 'ResNet50', '14999', '0.6918626378585115', '0.691783026879753'],
[0.02, 3e-06, 'ResNet50', '13999', '0.7504753429802549', '0.612454427947045'],
[0.02, 3e-06, 'ResNet50', '12999', '0.5775791975288642', '0.5747327793309349'],
[0.02, 3e-06, 'ResNet50', '11999', '0.7565269828208037', '0.6133047143791024'],
[0.02, 3e-06, 'ResNet50', '10999', '0.6519842553977323', '0.5636865483393236'],
[0.003, 5e-06, 'ResNet50', '999', '0.23984713994005463', '0.3129433184238941'],
[0.02, 3e-06, 'ResNet50', '9999', '0.7266848525993984', '0.650141882161017'],
[0.005, 5e-06, 'ResNet50', '999', '0.09596465934721228', '0.31373923825434685'],
[0.003, 5e-06, 'ResNet50', '14999', '0.6851174095018177', '0.6134884849877767'],
[0.02, 3e-06, 'ResNet50', '8999', '0.7194691071678574', '0.6058754257482282'],
[0.003, 5e-06, 'ResNet50', '13999', '0.6459357371296774', '0.6333113549575917'],
[0.005, 5e-06, 'ResNet50', '14999', '0.7531085344372273', '0.6016567839098574'],
[0.02, 3e-06, 'ResNet50', '7999', '0.6231815707476975', '0.6371124165371536'],
[0.003, 5e-06, 'ResNet50', '12999', '0.722070596298421', '0.6313508361880531'],
[0.005, 5e-06, 'ResNet50', '13999', '0.7738262727479801', '0.575634022813468'],
[0.02, 3e-06, 'ResNet50', '6999', '0.47649782106502486', '0.5344211571696073'],
[0.005, 5e-06, 'ResNet50', '12999', '0.7598480958748797', '0.5932156691097485'],
[0.003, 5e-06, 'ResNet50', '11999', '0.6912280849916075', '0.6194670164017706'],
[0.005, 5e-06, 'ResNet50', '11999', '0.7519685486481842', '0.6483173692049712'],
[0.003, 5e-06, 'ResNet50', '10999', '0.6954789891609405', '0.6058658488349838'],
[0.02, 3e-06, 'ResNet50', '5999', '0.6108502243550676', '0.5163880170400919'],
[0.005, 5e-06, 'ResNet50', '10999', '0.786240291046838', '0.6599934642656154'],
[0.003, 5e-06, 'ResNet50', '9999', '0.6729818750300512', '0.6281419742945749'],
[0.005, 5e-06, 'ResNet50', '9999', '0.7670966844155114', '0.5999063338940044'],
[0.02, 3e-06, 'ResNet50', '4999', '0.32646345943259125', '0.5589317718061018'],
